,height,number,rate
0,0,828012841.0,0.8422982187906901
1,1,789743.0,0.0008033681233723958
2,2,11760086.0,0.011962978108723958
3,3,8911471.0,0.00906521708170573
4,4,9763394.0,0.009931837972005208
5,5,19183493.0,0.01951445821126302
6,6,12680930.0,0.012899709065755209
7,7,17353534.0,0.017652927652994792
8,8,10651846.0,0.010835618082682292
9,9,8366004.0,0.00851033935546875
10,10,9656733.0,0.009823336791992187
11,11,5413036.0,0.005506424967447916
12,12,7154204.0,0.007277632649739583
13,13,4118426.0,0.004189479573567708
14,14,3406721.0,0.003465495808919271
15,15,5048212.0,0.005135306803385416
16,16,2763241.0,0.0028109141031901043
17,17,3633323.0,0.0036960072835286457
18,18,1779532.0,0.0018102335611979168
19,19,1424558.0,0.0014491353352864584
20,20,2060573.0,0.002096123250325521
21,21,987936.0,0.00100498046875
22,22,1542384.0,0.001568994140625
23,23,692470.0,0.0007044169108072917
24,24,587135.0,0.0005972646077473958
25,25,954344.0,0.0009708089192708334
26,26,401622.0,0.000408551025390625
27,27,694532.0,0.0007065144856770833
28,28,291745.0,0.00029677836100260415
29,29,247617.0,0.0002518890380859375
30,30,452426.0,0.00046023152669270835
31,31,222448.0,0.00022628580729166665
32,32,313219.0,0.00031862284342447914
33,33,197199.0,0.0002006011962890625
34,34,157227.0,0.0001599395751953125
35,35,183753.0,0.0001869232177734375
36,36,100404.0,0.00010213623046875
37,37,115406.0,0.00011739705403645833
38,38,53278.0,5.419718424479167e-05
39,39,87464.0,8.897298177083333e-05
40,40,81614.0,8.302205403645834e-05
41,41,33235.0,3.380839029947916e-05
42,42,64941.0,6.60614013671875e-05
43,43,35114.0,3.5719807942708336e-05
44,44,28005.0,2.84881591796875e-05
45,45,45324.0,4.610595703125e-05
46,46,17505.0,1.78070068359375e-05
47,47,37247.0,3.7889607747395835e-05
48,48,19495.0,1.9831339518229168e-05
49,49,12342.0,1.2554931640625e-05
50,50,19245.0,1.95770263671875e-05
51,51,11041.0,1.1231486002604166e-05
52,52,29198.0,2.9701741536458332e-05
53,53,11598.0,1.1798095703125e-05
54,54,10018.0,1.0190836588541667e-05
55,55,13687.0,1.3923136393229166e-05
56,56,20717.0,2.1074422200520833e-05
57,57,16869.0,1.71600341796875e-05
58,58,8096.0,8.235677083333333e-06
59,59,3728.0,3.7923177083333333e-06
60,60,11277.0,1.14715576171875e-05
61,61,8999.0,9.154256184895833e-06
62,62,12090.0,1.2298583984375e-05
63,63,3701.0,3.7648518880208333e-06
64,64,2534.0,2.577718098958333e-06
65,65,7055.0,7.176717122395833e-06
66,66,6293.0,6.401570638020833e-06
67,67,2219.0,2.2572835286458333e-06
68,68,6503.0,6.615193684895833e-06
69,69,3622.0,3.6844889322916666e-06
70,70,2316.0,2.35595703125e-06
71,71,1663.0,1.6916910807291667e-06
72,72,2453.0,2.4953206380208334e-06
73,73,3061.0,3.1138102213541668e-06
74,74,960.0,9.765625e-07
75,75,2077.0,2.1128336588541665e-06
76,76,3658.0,3.721110026041667e-06
77,77,3011.0,3.0629475911458335e-06
78,78,947.0,9.633382161458333e-07
79,79,2060.0,2.0955403645833334e-06
80,80,1272.0,1.2939453125e-06
81,81,1624.0,1.6520182291666666e-06
82,82,2135.0,2.1718343098958334e-06
83,83,575.0,5.849202473958333e-07
84,84,449.0,4.567464192708333e-07
85,85,380.0,3.865559895833333e-07
86,86,1467.0,1.4923095703125e-06
87,87,1183.0,1.2034098307291667e-06
88,88,7567.0,7.697550455729166e-06
89,89,405.0,4.119873046875e-07
90,90,1838.0,1.8697102864583332e-06
91,91,22216.0,2.2599283854166668e-05
92,92,440.0,4.475911458333333e-07
93,93,1906.0,1.9388834635416666e-06
94,94,1037.0,1.0548909505208334e-06
95,95,334.0,3.397623697916667e-07
96,96,100.0,1.0172526041666667e-07
97,97,734.0,7.466634114583334e-07
98,98,4781.0,4.863484700520833e-06
99,99,136.0,1.3834635416666668e-07
100,100,252.0,2.5634765625e-07
101,101,62.0,6.306966145833334e-08
102,102,402.0,4.08935546875e-07
103,103,796.0,8.097330729166666e-07
104,104,178.0,1.8107096354166666e-07
105,105,910.0,9.256998697916667e-07
106,106,0.0,0.0
107,107,1229.0,1.2502034505208333e-06
108,108,213.0,2.166748046875e-07
109,109,572.0,5.818684895833333e-07
110,110,0.0,0.0
111,111,59.0,6.001790364583333e-08
112,112,431.0,4.3843587239583333e-07
113,113,0.0,0.0
114,114,702.0,7.14111328125e-07
115,115,940.0,9.562174479166666e-07
116,116,2116.0,2.1525065104166668e-06
117,117,0.0,0.0
118,118,157.0,1.5970865885416668e-07
119,119,94.0,9.562174479166667e-08
120,120,169.0,1.7191569010416666e-07
121,121,0.0,0.0
122,122,0.0,0.0
123,123,0.0,0.0
124,124,0.0,0.0
125,125,503.0,5.116780598958333e-07
126,126,434.0,4.414876302083333e-07
127,127,0.0,0.0
128,128,0.0,0.0
129,129,0.0,0.0
130,130,193.0,1.9632975260416667e-07
131,131,0.0,0.0
132,132,0.0,0.0
133,133,253.0,2.5736490885416664e-07
134,134,0.0,0.0
135,135,0.0,0.0
136,136,480.0,4.8828125e-07
137,137,0.0,0.0
138,138,0.0,0.0
139,139,0.0,0.0
140,140,0.0,0.0
141,141,0.0,0.0
142,142,250.0,2.5431315104166666e-07
143,143,249.0,2.532958984375e-07
144,144,0.0,0.0
145,145,27.0,2.74658203125e-08
146,146,0.0,0.0
147,147,0.0,0.0
148,148,0.0,0.0
149,149,0.0,0.0
150,150,37.0,3.7638346354166664e-08
151,151,0.0,0.0
152,152,39.0,3.96728515625e-08
153,153,345.0,3.509521484375e-07
154,154,234.0,2.38037109375e-07
155,155,147.0,1.495361328125e-07
156,156,0.0,0.0
157,157,0.0,0.0
158,158,0.0,0.0
159,159,0.0,0.0
160,160,0.0,0.0
161,161,0.0,0.0
162,162,0.0,0.0
163,163,0.0,0.0
164,164,0.0,0.0
165,165,0.0,0.0
166,166,371.0,3.774007161458333e-07
167,167,0.0,0.0
168,168,0.0,0.0
169,169,0.0,0.0
170,170,260.0,2.644856770833333e-07
171,171,0.0,0.0
172,172,0.0,0.0
173,173,0.0,0.0
174,174,32.0,3.2552083333333335e-08
175,175,0.0,0.0
176,176,0.0,0.0
177,177,0.0,0.0
178,178,0.0,0.0
179,179,32.0,3.2552083333333335e-08
180,180,43.0,4.374186197916667e-08
181,181,0.0,0.0
182,182,0.0,0.0
183,183,0.0,0.0
184,184,0.0,0.0
185,185,0.0,0.0
186,186,0.0,0.0
187,187,0.0,0.0
188,188,0.0,0.0
