,height,number,rate
0,0,2431646563.0,0.8245329328748915
1,1,789743.0,0.0002677893744574653
2,2,11760086.0,0.003987659369574653
3,3,8917090.0,0.003023644341362847
4,4,9767828.0,0.0033121161566840277
5,5,19490108.0,0.006608787706163194
6,6,83737611.0,0.02839410095214844
7,7,20011680.0,0.00678564453125
8,8,15842108.0,0.005371808539496528
9,9,44351686.0,0.015038956027560764
10,10,30142805.0,0.010220948961046007
11,11,27471608.0,0.00931518825954861
12,12,49741882.0,0.016866686333550346
13,13,20123211.0,0.006823462931315104
14,14,16381440.0,0.0055546875
15,15,37972891.0,0.012876007419162326
16,16,9622400.0,0.0032628038194444445
17,17,8684997.0,0.002944945271809896
18,18,31018324.0,0.010517823621961806
19,19,4067336.0,0.0013791693793402777
20,20,4101549.0,0.0013907704671223958
21,21,13760392.0,0.004665931532118055
22,22,2752305.0,0.0009332631429036459
23,23,1618592.0,0.0005488389756944445
24,24,8646228.0,0.00293179931640625
25,25,1588871.0,0.0005387610541449653
26,26,941699.0,0.0003193152533637153
27,27,4016097.0,0.0013617950439453125
28,28,665976.0,0.00022582194010416668
29,29,584151.0,0.00019807637532552084
30,30,3702377.0,0.0012554175482855903
31,31,469364.0,0.00015915391710069444
32,32,566940.0,0.00019224039713541666
33,33,1928865.0,0.0006540476481119792
34,34,392289.0,0.00013301900227864584
35,35,366990.0,0.00012444051106770833
36,36,2228946.0,0.0007558003743489583
37,37,238535.0,8.08834499782986e-05
38,38,188578.0,6.394382052951389e-05
39,39,1168300.0,0.0003961520724826389
40,40,210480.0,7.137044270833333e-05
41,41,145452.0,4.932047526041667e-05
42,42,1205501.0,0.00040876634385850696
43,43,124894.0,4.234958224826389e-05
44,44,150474.0,5.1023356119791665e-05
45,45,1674074.0,0.0005676520453559028
46,46,103771.0,3.518710666232639e-05
47,47,169985.0,5.763922797309028e-05
48,48,1130743.0,0.0003834170871310764
49,49,111693.0,3.787333170572917e-05
50,50,90533.0,3.0698310004340276e-05
51,51,700368.0,0.00023748372395833333
52,52,74641.0,2.5309583875868055e-05
53,53,86194.0,2.9227023654513888e-05
54,54,1466792.0,0.0004973659939236111
55,55,68517.0,2.32330322265625e-05
56,56,66502.0,2.2549777560763888e-05
57,57,453976.0,0.00015393608940972222
58,58,71853.0,2.4364217122395833e-05
59,59,45001.0,1.5259128146701388e-05
60,60,2454084.0,0.00083214111328125
61,61,42580.0,1.4438205295138888e-05
62,62,59830.0,2.0287407769097223e-05
63,63,549915.0,0.00018646748860677082
64,64,46497.0,1.576639811197917e-05
65,65,43867.0,1.487460666232639e-05
66,66,598670.0,0.00020299953884548612
67,67,29061.0,9.8541259765625e-06
68,68,43029.0,1.45904541015625e-05
69,69,365600.0,0.00012396918402777778
70,70,38337.0,1.2999471028645833e-05
71,71,38719.0,1.3129001193576389e-05
72,72,543124.0,0.0001841647677951389
73,73,26915.0,9.126451280381945e-06
74,74,15641.0,5.303615993923611e-06
75,75,730513.0,0.0002477054172092014
76,76,21739.0,7.371351453993056e-06
77,77,28089.0,9.5245361328125e-06
78,78,478742.0,0.00016233384874131943
79,79,20489.0,6.9474962022569444e-06
80,80,12781.0,4.333835177951389e-06
81,81,352781.0,0.00011962246365017361
82,82,12438.0,4.217529296875e-06
83,83,11672.0,3.957790798611111e-06
84,84,469308.0,0.00015913492838541668
85,85,26649.0,9.0362548828125e-06
86,86,15004.0,5.087619357638889e-06
87,87,166251.0,5.6373087565104165e-05
88,88,18852.0,6.392415364583333e-06
89,89,13594.0,4.609510633680556e-06
90,90,834665.0,0.00028302171495225696
91,91,40815.0,1.38397216796875e-05
92,92,17042.0,5.778672960069444e-06
93,93,80183.0,2.7188788519965276e-05
94,94,9209.0,3.1226264105902776e-06
95,95,12631.0,4.282972547743055e-06
96,96,167865.0,5.692036946614583e-05
97,97,10615.0,3.5993787977430557e-06
98,98,32045.0,1.0865953233506945e-05
99,99,122941.0,4.168735080295139e-05
100,100,9104.0,3.0870225694444444e-06
101,101,7670.0,2.600775824652778e-06
102,102,43277.0,1.4674546983506944e-05
103,103,7709.0,2.6140001085069444e-06
104,104,14339.0,4.862128363715278e-06
105,105,71023.0,2.4082777235243055e-05
106,106,4058.0,1.376003689236111e-06
107,107,4824.0,1.6357421875e-06
108,108,31142.0,1.0559760199652778e-05
109,109,5496.0,1.8636067708333333e-06
110,110,10339.0,3.505791558159722e-06
111,111,25519.0,8.653089735243055e-06
112,112,8341.0,2.828301323784722e-06
113,113,6687.0,2.2674560546875e-06
114,114,23522.0,7.975938585069445e-06
115,115,15946.0,5.407036675347222e-06
116,116,5844.0,1.9816080729166665e-06
117,117,20125.0,6.824069552951389e-06
118,118,2873.0,9.741889105902777e-07
119,119,2899.0,9.83005099826389e-07
120,120,44110.0,1.4957004123263889e-05
121,121,6442.0,2.1843804253472223e-06
122,122,2924.0,9.91482204861111e-07
123,123,9030.0,3.0619303385416666e-06
124,124,4790.0,1.6242133246527777e-06
125,125,6111.0,2.0721435546875e-06
126,126,18237.0,6.183878580729167e-06
127,127,7116.0,2.412923177083333e-06
128,128,5336.0,1.8093532986111112e-06
129,129,8546.0,2.8978135850694445e-06
130,130,7465.0,2.5312635633680556e-06
131,131,9722.0,3.296576605902778e-06
132,132,6678.0,2.264404296875e-06
133,133,3476.0,1.1786566840277778e-06
134,134,3805.0,1.2902153862847221e-06
135,135,17854.0,6.054009331597222e-06
136,136,8412.0,2.8523763020833334e-06
137,137,15328.0,5.197482638888889e-06
138,138,8870.0,3.0076768663194442e-06
139,139,3380.0,1.1461046006944445e-06
140,140,7243.0,2.455986870659722e-06
141,141,3521.0,1.1939154730902779e-06
142,142,1815.0,6.154378255208333e-07
143,143,4381.0,1.4855278862847222e-06
144,144,7961.0,2.6994493272569443e-06
145,145,4114.0,1.394992404513889e-06
146,146,1594.0,5.405002170138889e-07
147,147,5719.0,1.9392225477430556e-06
148,148,244.0,8.273654513888889e-08
149,149,1279.0,4.336886935763889e-07
150,150,13388.0,4.5396592881944445e-06
151,151,1771.0,6.005181206597222e-07
152,152,3133.0,1.062350802951389e-06
153,153,6259.0,2.1223280164930557e-06
154,154,2589.0,8.778889973958333e-07
155,155,4497.0,1.5248616536458333e-06
156,156,3352.0,1.1366102430555555e-06
157,157,3490.0,1.1834038628472223e-06
158,158,3568.0,1.2098524305555556e-06
159,159,7032.0,2.3844401041666666e-06
160,160,4114.0,1.394992404513889e-06
161,161,2849.0,9.660508897569444e-07
162,162,1748.0,5.927191840277778e-07
163,163,1794.0,6.083170572916667e-07
164,164,4540.0,1.5394422743055556e-06
165,165,7211.0,2.4451361762152777e-06
166,166,2125.0,7.205539279513889e-07
167,167,1436.0,4.869249131944445e-07
168,168,2559.0,8.677164713541667e-07
169,169,675.0,2.288818359375e-07
170,170,1969.0,6.676567925347222e-07
171,171,2352.0,7.975260416666667e-07
